"Id" "X1" "X2" "X3" "X4"
"1" 1 0.227 3.832 0.996 0.536
"2" 2 5.207 -2.448 1.002 2.639
"3" 3 0.146 -2.42 -1.472 -2.018
"4" 4 2.634 -4.221 0.506 2.18
"5" 5 2.506 1.146 -1.344 1.601
"6" 6 4.713 3.188 -3.124 1.497
"7" 7 5.142 2.795 -2.016 1.197
"8" 8 -0.54 0.911 -0.706 -1.029
"9" 9 3.664 2.523 -0.774 2.557
"10" 10 2.893 -1.352 -2.258 1.262
"11" 11 1.979 -0.794 1.719 1.664
"12" 12 4.376 0.775 0.323 0.255
"13" 13 -0.37 3.708 -0.358 0.999
"14" 14 -2.12 3.782 0.646 0.269
"15" 15 -1.216 1.953 -2.943 0.746
"16" 16 -1.253 1.085 -1.008 -0.157
"17" 17 1.315 -1.372 2.688 3.797
"18" 18 0.583 -0.761 0.338 0.141
"19" 19 -0.546 -1.199 2.963 0.622
"20" 20 -1.621 0.474 -0.668 2.542
"21" 21 2.031 -0.921 -1.693 -0.213
"22" 22 1.293 1.613 -4.293 -2.157
"23" 23 2.672 0.004 0.069 2.801
"24" 24 0.389 -0.133 1.331 1.384
"25" 25 0.901 0.751 1.108 2.313
"26" 26 -3.007 -0.831 -1.479 2.66
"27" 27 -4.581 0.656 -1.126 1.795
"28" 28 5.226 1.509 1.798 -4.522
"29" 29 -1.069 0.687 1.76 2.906
"30" 30 -3.73 1.083 0.707 1.66
"31" 31 0.435 -1.114 -1.944 2.51
"32" 32 -0.129 -2.148 1.579 1.945
"33" 33 2.562 4.86 1.661 -1.489
"34" 34 -0.339 -2.186 -0.467 2.999
"35" 35 2.708 0.484 -1.349 4.303
"36" 36 4.08 -4.519 -0.073 2.91
"37" 37 1.581 4.493 4.208 0.21
"38" 38 1.85 -0.504 -5.806 -2.47
"39" 39 4.498 -2.008 1.627 2.119
"40" 40 2.081 0.583 -0.197 -0.25
